LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
2002,PORSCHE,911 CARRERA TARGA 6-SPEED,37250.0,2024-01-03,SOLD 
1994,PORSCHE,911 SPEEDSTER,159995.0,2024-01-03,SOLD 
2024,PORSCHE,911 DAKAR,340000.0,2024-01-03,BID 
2005,PORSCHE,911 CARRERA S COUPE 6-SPEED,31250.0,2024-01-03,SOLD 
2004,PORSCHE,911 40TH ANNIVERSARY,55996.0,2024-01-03,SOLD 
2022,PORSCHE,911 GT3 6-SPEED,264000.0,2024-01-03,SOLD 
1980,PORSCHE,20-YEARS-OWNED  911SC COUPE,44411.0,2024-01-03,SOLD 
2002,PORSCHE,SAFARI-STYLE  911 TURBO COUPE 6-SPEED,43250.0,2024-01-03,BID 
2007,PORSCHE,911 GT3 RS,230000.0,2024-01-03,SOLD 
1987,PORSCHE,BACKDATED  911 CARRERA COUPE G50,165000.0,2024-01-02,SOLD 
1977,PORSCHE,911S TARGA 5-SPEED,45000.0,2024-01-02,SOLD 
2024,PORSCHE,911 TARGA 4S,201000.0,2024-01-02,BID 
2015,PORSCHE,911 TURBO S COUPE,116000.0,2024-01-02,SOLD 
1970,PORSCHE,52-YEARS-OWNED  911T TARGA,55500.0,2024-01-02,SOLD 
1983,PORSCHE,911SC COUPE PROJECT,36750.0,2024-01-02,SOLD 
1996,PORSCHE,RUF-MODIFIED ROW  911 TURBO X50,199000.0,2024-01-02,BID 
0000,PORSCHE,18×8″ AND 18×10″ DYMAG CARBON-FIBER AND MAGNALIUM WHEELS FOR,7000.0,2023-12-30,SOLD 
2003,PORSCHE,911 TURBO COUPE X50 6-SPEED,73000.0,2023-12-30,SOLD 
0000,PORSCHE,15×6″ FUCHS WHEELS FOR,2350.0,2023-12-29,SOLD 
2012,PORSCHE,911 CARRERA S COUPE,54000.0,2023-12-29,BID 
0000,PORSCHE,WHALE-TAIL SPOILER FOR 911,14000.0,2023-12-29,SOLD 
1995,PORSCHE,911 CARRERA COUPE 6-SPEED,76500.0,2023-12-29,BID 
2006,PORSCHE,911 CARRERA 4S CABRIOLET 6-SPEED,62501.0,2023-12-29,SOLD 
1987,PORSCHE,911 CARRERA COUPE G50,87411.0,2023-12-28,SOLD 
0000,PORSCHE,15×5.5“ FUCHS WHEELS FOR,5100.0,2023-12-28,SOLD 
1996,PORSCHE,911 CARRERA 4S 6-SPEED,118000.0,2023-12-28,BID 
0000,PORSCHE,911 TOOL KIT,1850.0,2023-12-28,SOLD 
2001,PORSCHE,911 TURBO COUPE 6-SPEED,93500.0,2023-12-28,BID 
2008,PORSCHE,911 TURBO COUPE,61500.0,2023-12-28,SOLD 
