YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
0000,PORSCHE,18×7.5″ AND 18×10″ SPORT DESIGN WHEELS BY BBS,1600.0,2024-01-15,SOLD 
1997,PORSCHE,911 CARRERA 4 CABRIOLET 6-SPEED,64444.0,2024-01-15,SOLD 
1969,PORSCHE,49-YEARS-OWNED  911E COUPE,46000.0,2024-01-15,BID 
2007,PORSCHE,911 GT3,130777.0,2024-01-15,SOLD 
1981,PORSCHE,911SC TARGA,53000.0,2024-01-15,SOLD 
1987,PORSCHE,33-YEARS-OWNED  944 TURBO CUP,71952.0,2024-01-15,BID 
1999,PORSCHE,911 CARRERA COUPE 6-SPEED,25746.0,2024-01-15,SOLD 
1989,PORSCHE,911 SPEEDSTER,205000.0,2024-01-15,SOLD 
1970,PORSCHE,914-6,83500.0,2024-01-15,BID 
2008,PORSCHE,BOXSTER,22750.0,2024-01-15,SOLD 
1991,PORSCHE,911 CARRERA 2 COUPE,92500.0,2024-01-15,SOLD 
0000,PORSCHE,911 3.2L ENGINE AND 5-SPEED TRANSAXLE,32500.0,2024-01-15,SOLD 
1984,PORSCHE,928S,15178.0,2024-01-15,BID 
2008,PORSCHE,911 GT3 RS,304000.0,2024-01-15,SOLD 
2017,PORSCHE,911 CARRERA GTS COUPE,107000.0,2024-01-15,SOLD 
1974,PORSCHE,911 CARRERA COUPE,155000.0,2024-01-15,SOLD 
0000,PORSCHE,15×6″ AND 15×7″ PHONE DIAL WHEELS,370.0,2024-01-14,SOLD 
0000,PORSCHE,FUCHS 15×6″ DEEP SIX WHEELS FOR 911,5600.0,2024-01-14,SOLD 
0000,PORSCHE,997 SPORT BUCKET SEATS,14000.0,2024-01-14,SOLD 
1988,PORSCHE,MODIFIED  944 TURBO S SILVER ROSE,21301.0,2024-01-14,BID 
1977,PORSCHE,42-YEARS-FAMILY-OWNED  911S COUPE 5-SPEED,38500.0,2024-01-14,BID 
1987,PORSCHE,911 CARRERA COUPE G50,72500.0,2024-01-14,SOLD 
